Question,Ground Truth,Prediction,Status
Which is the correct statement regarding the rate of correction and amount of patient’s free water deﬁcit?,D,C. A change in the serum sodium concentration of 1 mmol/L/h is likely safe and should not cause neurologic sequelae.,Success
Which ONE of the following diagnoses BEST describes the ultrasonography ﬁndings?,B,B. Hydronephrosis,Success
Which ONE of the following would you advise regarding the effect of PGT on her pregnancy outcomes?,A,E. PGT can help prevent transmission of the PKD1 mutation to offspring.,Success
Which of the following statements is the MOST accurate?,A,"A. Her risk of preeclampsia is high, primarily because of her history of preeclampsia and hypertension; type 2 DM and CKD also contribute to risk but to a lesser degree than hypertension and prior preeclampsia",Success
Which ONE of this patient’s characteristics is associated with INCREASED mortality after transplantation?,A,D. A “timed get up and go” test result indicative of frailty,Success
What is the most likely diagnosis?,C,A. Proliferative glomerulonephritis with monoclonal immunoglobulin deposits (PGNMID-Ig),Success
Which ONE of the following is the MOST appropriate management of this patient’s statin therapy?,D,D. Continue pravastatin at the current dose,Success
"In this setting, administration of bicarbonate as speciﬁed will be associated with which ONE of the following outcomes?",C,C. Decreased risk of progressive AKI requiring dialysis,Success
Which ONE of the following is the MOST appropriate management for this patient?,A,"B. High-dose corticosteroids, plasmapheresis, and cyclophosphamide",Success
Which ONE of the following medication changes would be MOST appropriate at this time?,A,D. Increase cinacalcet dose to 60 mg daily,Success
Which ONE of the following would be the MOST helpful in her management?,A,A. Genetic analysis for hereditary forms of FSGS,Success
Which of the following is true regarding the effect of AKI on mortality?,C,C. Mortality is increased in a graded fashion with worsening AKI,Success
"With regard to acidosis in early-stage CKD, which of the following is correct?",A,All of the above,Success
Which ONE of the following statements is MOST correct concerning this patient?,C,C. Rituximab therapy would likely offer better prospects for long-term control of her disease,Success
Which one of the following is the BEST option for preserving his RRF?,C,C. Use low-glucose degradation product and neutral pH bio-compatible PD solutions,Success
Which ONE of the following is the MOST appropriate management?,B,B. Discontinue empagliﬂozin,Success
Which of the following options has been shown in studies to have the best kidney survival?,E,B. Living donor kidney transplantation,Success
Which ONE of the following tests would be of the MOST help to conﬁrm this patient’s diagnosis?,B,C. Measurement of serum anti–PLA2R antibodies,Success
Which ONE of the following additional investigations should be requested for this woman now (at 6-weeks gestation)?,D,D. Anti-Ro and anti-La antibodies,Success
What proportion of patients with hypertension and no diabetes in the United States undergoes ACR screening?,A,"As an AI, I don't have real-time data or the ability to access specific statistics or studies unless they have been provided in the context. Therefore, I'm unable to provide the accurate proportion of patients with hypertension and no diabetes in the United States who undergo ACR screening. For the most accurate information, please refer to the latest research or medical databases.",Success
Which ONE of the following is the MOST appropriate statement regarding his expected transplant outcome?,C,B. His mortality risk is higher than nonobese transplant recipients,Success
Which ONE of the following is the MOST likely explanation of her hypomagnesemia?,D,D. Decreased gastrointestinal absorption,Success
Which ONE of the following is the MOST likely prognosis for this patient?,A,"A. The long-term prognosis is favorable, because the proteinuria declined to < 0.7 g/d after 1 year",Success
Which ONE of the following is the MOST accurate regarding his risk for recurrent MN after transplant?,D,B. The absence of anti-phospholipase A2 receptor (anti-PLA2R) antibody indicates a low risk (< 20%) of recurrent MN,Success
"Question 2580:
Which ONE of the following statements regarding the relationship between kidney stones and cardiovascular events is CORRECT?",D,"D. Even correcting for diabetes, hypertension, and albuminuria, kidney stone formation is associated with an increased risk of cardiovascular events",Success
Which ONE of the following individuals is MOST likely to beneﬁt from electronic alerts in the medical record that identify AKI?,B,B. A 76-year-old woman with serum creatinine that has increased from 0.7 mg/dl to A.0 mg/dl over 3 days,Success
